symbol,Volatility,Max_Drawdown
ACB,22.12093704381502,-20.193585255846923
BID,24.50387879908348,-27.303883445312643
CTG,27.25744364393713,-20.745394269423056
EIB,33.81305932412845,-35.21104546955938
EVF,41.377425551383894,-55.98391834309587
HDB,30.965585395228665,-30.951690799021254
KLB,42.86048743624944,-30.290527984813764
LPB,31.60608496792076,-23.007157040430492
MBB,26.915755130658198,-19.67328748855601
MSB,28.078781304832585,-24.26625169684655
NAB,25.1043556796994,-17.6087486700517
OCB,28.77543814758834,-27.04939236212583
SHB,28.675278323870323,-19.66776169230171
SSB,25.1133836673454,-28.303741522535947
STB,30.807232222626162,-24.573360599270554
TCB,28.579682096374146,-22.521610056314035
TPB,30.4740503007502,-33.44498635225068
VAB,35.892472886244256,-26.94780635682325
VCB,19.97405002073613,-21.978871073113247
VIB,24.477840765362295,-27.318919677128417
VNINDEX,14.414300108348348,-10.528865981786309
VPB,30.755302884573258,-31.3314909664647
